Reviews,Title,URL,content,楼主,Time
0,刀剑神域关键斗士,/p/8547031179,什么时候升级武器比较好,佳宜金牛,2023-8-11
3,晓之独行者的微唱,/p/8545442328,今天刚腾出时间刷完两部进击篇，还差一部，想问下吧友们有第三部的消息么，或者说有决定制作消息么,咋咋呼呼,2023-8-11
4,想看ur篇,/p/8532926346,想看小说了但是不知道在哪里看有没有大佬分享一下方法,结城,2023-8-11
7,请问uw出现的机士团长跟ugo什么关系?,/p/8463197887,小说党进来说说康,小豆芽...,2023-8-11
5,还有哪里能买到这个立牌,/p/8544262761,好像是十周年展会的,豆鲨包_,2023-8-11
9,兄弟们评价一下,/p/8507645513,,大眼睛的呱,2023-7-23
3,新人提问🐸,/p/8526198682,刚看完序列之争 ，现在动画差爱丽丝和两个最新出的剧场 想知道第三季听老爷和亚总撒狗粮的戏份还有没有了， 以及桐姥爷的二刀流什么Star Burst Stream之类的经典技能会不会再出现， 虽然最近才开始追，但是刀剑还是给了我不一样的感觉 ，像是以前追bleach和约战的情感加起来一样😂总之还是喜欢桐姥爷和亚总的🤣,结城,2023-8-11
5,GGO有痛觉吸收器吗？,/p/8513292332,刚看了外传，上面说被刀划到、被枪打到很疼，还有人疼到龇牙咧嘴。但是我记得正传的时候忘了是谁说了一句哇好疼，然后旁边有人说这个有痛觉吸收的，怎么会疼呢？（可能记错了，原话不是这么说的，只是大概意思）所以到底有没有痛觉吸收器啊？,好好～我...,2023-8-10
0,有没有吧友知道这张出自哪个片段吗,/p/8545150690,,小校年,2023-8-10
91,为什么星王桐人给自己的生存目标与王妃在不在完全不同？,/p/8514853802,想起看到最后星王桐人说如果只有亚丝娜 亚丝娜就马上要求自我毁灭 都复制就促进现实和uw的和平 只有他就说只会为UW而战。 难道星王觉得王妃不在了与现实怎么样都无所谓了 只在乎UW？为什么这和王妃在不在有联系？ 有合理解释吗？,AL07,2023-8-10
4,上次B站活动中的胶片到了,/p/8543293400,上次B站活动中的胶片到了,長風万里,2023-8-10
1,omofun上的有删减吗,/p/8460124907,,月球上的...,2023-8-10
12,问问大伙，小说内容现在有没有崩坏啊,/p/8542358000,刚看完第一季，想买小说来收藏，也多多少少知道一点后面有雷，但桐人和亚丝娜真的太甜了，真的很难不想买书回来好好看看，但又怕后面没前面那么好看。所以后面剧情有特别崩不，谢谢大伙,黑糖不是...,2023-8-10
40,这么大真的能进去吗,/p/8476803700,开玩笑啦 这个npc后面还有剧情吗 会不会像优衣酱被桐人收到本地文件夹 挺喜欢这个角色的,苏咔咔咔...,2023-8-9
69,米特会是优纪2.0吗？,/p/8436693745,,,2023-8-9
10,刀剑神域TV篇和进击篇有什么区别啊,/p/8420819706,前几年看完了TV篇，最近才发现还有进击篇，但感觉这俩剧情差不多啊,贴吧用户_...,2023-8-9
9,跟亚丝娜商量一下,/p/8526191923,就是说能不能跟亚丝娜商量一下，把桐谷和人给她，把桐人给我当老婆,“作弊者”,2023-8-8
